River,Species,Presence,,,,TRAITS,,,2013OBS
Wharton Hollow Creek,Circaea lutetiana,1,,,,Thuja occidentalis,,!!!!,
Beaver Kill,Clematis virginiana,1,,,,Tilia americana,,!!!!,
Big Brook,Clematis virginiana,1,,,,Toxicodendron radicans,,!!!!,
Boreas River,Clematis virginiana,1,,,,Trifolium aureum,,!!!!,
Cadman Creek,Clematis virginiana,1,,,,Trifolium pratense,,!!!!,
Cedar River,Clematis virginiana,1,,,,Trifolium repens,,!!!!,
Daly Creek,Clematis virginiana,1,,,,Trillium erectum,,!!!!,
Fawn Lake,Clematis virginiana,1,,,,Tsuga canadensis,,!!!!,
Four Mile Brook,Clematis virginiana,1,,,,Tussilago farfara,,!!!!,
Mill Creek,Clematis virginiana,1,,,,Ulmus americana,,!!!!,
North Branch West Stony Creek,Clematis virginiana,1,,,,Ulmus rubra,,!!!!,
Quacken Kill,Clematis virginiana,1,,,,Urtica dioica,,!!!!,
Robbs Creek,Clematis virginiana,1,,,,Veratrum viride,,!!!!,
Sherriff Lake Outlet,Clematis virginiana,1,,,,Verbascum thapsus,,!!!!,
Sprout Creek,Clematis virginiana,1,,,,Verbena hastata,,!!!!,
Sterling Creek,Clematis virginiana,1,,,,Verbena urticifolia,,!!!!,
Stewart Creek,Clematis virginiana,1,,,,Veronica americana,,!!!!,
Timmerman Creek,Clematis virginiana,1,,,,Veronica anagallis-aquatica,,!!!!,
Trout Brook,Clematis virginiana,1,,,,Veronica scutellata,,!!!!,
Wharton Hollow Creek,Clematis virginiana,1,,,,Viburnum acerifolium,,!!!!,
Beaver Kill,Clinopodium vulgare,1,,,,Viburnum dentatum,,!!!!,
Evas Kill,Collinsonia canadensis,1,,,,Viburnum lantanoides,,!!!!,
Saw Kill,Commelina communis,1,,,,Vinca minor,,!!!!,
Fawn Lake,Cornus amomum,1,,,,Vitis riparia,,!!!!,
Sprout Creek,Cornus amomum,1,,,,Woodsia ilvensis,,!!!!,
Hudson River,Cornus canadensis,1,,,,Xanthium strumarium,,!!!!,
Fishkill Creek,Cornus obliqua,1,,,,,,!!!!,
Hudson River,Cornus obliqua,1,,,,,,!!!!,
Lansing Kill,Cornus obliqua,1,,,,,,!!!!,
Mohawk River,Cornus obliqua,1,,,,,,!!!!,
Potic Creek,Cornus obliqua,1,,,,,,!!!!,
Snook Kill,Cornus obliqua,1,,,,,,!!!!,
Sterling Creek,Cornus obliqua,1,,,,,,!!!!,
Boreas River,Cornus rugosa,1,,,,,,,
Minots Corner Road,Cornus rugosa,1,,,,,,,
Sterling Creek,Cornus rugosa,1,,,,,,,
Timmerman Creek,Cornus rugosa,1,,,,,,,
Ballston Creek,Cornus sericea,1,,,,,,,
Battenkill,Cornus sericea,1,,,,,,,
Boreas River,Cornus sericea,1,,,,,,,
Cadman Creek,Cornus sericea,1,,,,,,,
Chester Creek,Cornus sericea,1,,,,,,,
Daly Creek,Cornus sericea,1,,,,,,,
Indian Kill,Cornus sericea,1,,,,,,,
Kennyetto Creek,Cornus sericea,1,,,,,,,
Kinderhook Creek,Cornus sericea,1,,,,,,,
Mill Brook,Cornus sericea,1,,,,,,,
Paragon Brook,Cornus sericea,1,,,,,,,
Snook Kill,Cornus sericea,1,,,,,,,
Steele Creek,Cornus sericea,1,,,,,,,
Trout Brook,Cornus sericea,1,,,,,,,
Wappinger Creek,Cornus sericea,1,,,,,,,
Lansing Kill,Corylus cornuta,1,,,,,,,
Evas Kill,Cryptotaenia canadensis,1,,,,,,,
Indian Brook,Cynanchum louiseae,1,,,,,,,
Alplaus Kill,Cyperaceae_a,1,,,,,,,
Beaver Kill,Cyperaceae_a,1,,,,,,,
Boreas River,Cyperaceae_a,1,,,,,,,
Bullhead Pond Brook,Cyperaceae_a,1,,,,,,,
Cadman Creek,Cyperaceae_a,1,,,,,,,
Cedar River,Cyperaceae_a,1,,,,,,,
Green River,Cyperaceae_a,1,,,,,,,
Hudson River,Cyperaceae_a,1,,,,,,,
Indian Brook,Cyperaceae_a,1,,,,,,,
Indian Kill,Cyperaceae_a,1,,,,,,,
Jassup River,Cyperaceae_a,1,,,,,,,
Kennyetto Creek,Cyperaceae_a,1,,,,,,,
Kinderhook Creek,Cyperaceae_a,1,,,,,,,
Mill Brook,Cyperaceae_a,1,,,,,,,
Mohawk River,Cyperaceae_a,1,,,,,,,
North Branch West Stony Creek,Cyperaceae_a,1,,,,,,,
Potic Creek,Cyperaceae_a,1,,,,,,,
Quacken Kill,Cyperaceae_a,1,,,,,,,
Robbs Creek,Cyperaceae_a,1,,,,,,,
Roeliff Jansen Kill,Cyperaceae_a,1,,,,,,,
Saw Kill,Cyperaceae_a,1,,,,,,,
Snook Kill,Cyperaceae_a,1,,,,,,,
Sprout Creek,Cyperaceae_a,1,,,,,,,
Sterling Creek,Cyperaceae_a,1,,,,,,,
Stony Creek,Cyperaceae_a,1,,,,,,,
Timmerman Creek,Cyperaceae_a,1,,,,,,,
Valatie Kill,Cyperaceae_a,1,,,,,,,
Wappinger Creek,Cyperaceae_a,1,,,,,,,
Wharton Hollow Creek,Cyperaceae_a,1,,,,,,,
Robbs Creek,Cyperaceae_b,1,,,,,,,
Ballston Creek,Cyperus strigosus,1,,,,,,,
Chester Creek,Cyperus strigosus,1,,,,,,,
Kayaderosseras Creek,Cyperus strigosus,1,,,,,,,
Landsman Kill,Dactylis glomerata,1,,,,,,,
Battenkill,Daucus carota,1,,,,,,,
Cobleskill Creek,Daucus carota,1,,,,,,,
Fawn Lake,Daucus carota,1,,,,,,,
Kennyetto Creek,Daucus carota,1,,,,,,,
Keyser Kill,Daucus carota,1,,,,,,,
Landsman Kill,Daucus carota,1,,,,,,,
Plotter Kill,Daucus carota,1,,,,,,,
Quacken Kill,Daucus carota,1,,,,,,,
Sterling Creek,Daucus carota,1,,,,,,,
Keyser Kill,Dianthus armeria,1,,,,,,,
Battenkill,Dichanthelium clandestinum,1,,,,,,,
Beaver Kill,Dichanthelium clandestinum,1,,,,,,,
Cadman Creek,Dichanthelium clandestinum,1,,,,,,,
Cedar River,Dichanthelium clandestinum,1,,,,,,,
Hans Creek,Dichanthelium clandestinum,1,,,,,,,
Indian Brook,Dichanthelium clandestinum,1,,,,,,,
Indian Kill,Dichanthelium clandestinum,1,,,,,,,
Kayaderosseras Creek,Dichanthelium clandestinum,1,,,,,,,
Kennyetto Creek,Dichanthelium clandestinum,1,,,,,,,
Kinderhook Creek,Dichanthelium clandestinum,1,,,,,,,
Mill Brook,Dichanthelium clandestinum,1,,,,,,,
North Branch West Stony Creek,Dichanthelium clandestinum,1,,,,,,,
Potic Creek,Dichanthelium clandestinum,1,,,,,,,
Quacken Kill,Dichanthelium clandestinum,1,,,,,,,
Roeliff Jansen Kill,Dichanthelium clandestinum,1,,,,,,,
Snook Kill,Dichanthelium clandestinum,1,,,,,,,
Trout Brook,Dichanthelium clandestinum,1,,,,,,,
Kayaderosseras Creek,Digitaria sanguinalis,1,,,,,,,
Fishkill Creek,Dioscorea villosa,1,,,,,,,
Boreas River,Doellingeria umbellata,1,,,,,,,
Cedar River,Doellingeria umbellata,1,,,,,,,
Daly Creek,Doellingeria umbellata,1,,,,,,,
Four Mile Brook,Doellingeria umbellata,1,,,,,,,
Hans Creek,Doellingeria umbellata,1,,,,,,,
Hudson River,Doellingeria umbellata,1,,,,,,,
Jassup River,Doellingeria umbellata,1,,,,,,,
Lansing Kill,Doellingeria umbellata,1,,,,,,,
Mill Brook,Doellingeria umbellata,1,,,,,,,
Mill Creek,Doellingeria umbellata,1,,,,,,,
Minots Corner Road,Doellingeria umbellata,1,,,,,,,
North Branch West Stony Creek,Doellingeria umbellata,1,,,,,,,
Robbs Creek,Doellingeria umbellata,1,,,,,,,
Snook Kill,Doellingeria umbellata,1,,,,,,,
Stewart Creek,Doellingeria umbellata,1,,,,,,,
Trout Brook,Doellingeria umbellata,1,,,,,,,
Lansing Kill,Dryopteris carthusiana,1,,,,,,,
Stewart Creek,Dryopteris carthusiana,1,,,,,,,
Evas Kill,Dryopteris cristata,1,,,,,,,
Ballston Creek,Echinocystis lobata,1,,,,,,,
Kayaderosseras Creek,Echinocystis lobata,1,,,,,,,
Alplaus Kill,Elymus canadensis,1,,,,,,,
Alplaus Kill,Elymus canadensis,1,,,,,,,
Boreas River,Elymus canadensis,1,,,,,,,
Cadman Creek,Elymus canadensis,1,,,,,,,
Hudson River,Elymus canadensis,1,,,,,,,
Indian Kill,Elymus canadensis,1,,,,,,,
Jassup River,Elymus canadensis,1,,,,,,,
Kinderhook Creek,Elymus canadensis,1,,,,,,,
Mill Brook,Elymus canadensis,1,,,,,,,
New Pond Brook,Elymus canadensis,1,,,,,,,
Plotter Kill,Elymus canadensis,1,,,,,,,
Quacken Kill,Elymus canadensis,1,,,,,,,
Robbs Creek,Elymus canadensis,1,,,,,,,
Snook Kill,Elymus canadensis,1,,,,,,,
Stony Creek,Elymus hystrix,1,,,,,,,
Fawn Lake,Elymus repens,1,,,,,,,
Cedar River,Elymus trachycaulus,1,,,,,,,
Beaver Kill,Elymus virginicus,1,,,,,,,
Saw Kill,Elymus virginicus,1,,,,,,,
Evas Kill,Epilobium ciliatum,1,,,,,,,
Snook Kill,Epilobium ciliatum,1,,,,,,,
Ballston Creek,Epipactis helleborine,1,,,,,,,
Lansing Kill,Epipactis helleborine,1,,,,,,,
Sterling Creek,Epipactis helleborine,1,,,,,,,
Stony Creek,Epipactis helleborine,1,,,,,,,
Valatie Kill,Epipactis helleborine,1,,,,,,,
Battenkill,Equisetum fluviatile,1,,,,,,,
Keyser Kill,Equisetum fluviatile,1,,,,,,,
Timmerman Creek,Equisetum fluviatile,1,,,,,,,
Timmerman Creek,Equisetum hyemale,1,,,,,,,
Cedar River,Equisetum palustre,1,,,,,,,
Alplaus Kill,Equisetum pratense,1,,,,,,,
Boreas River,Equisetum pratense,1,,,,,,,
Hans Creek,Equisetum pratense,1,,,,,,,
Potic Creek,Equisetum pratense,1,,,,,,,
Sherriff Lake Outlet,Equisetum pratense,1,,,,,,,
Snook Kill,Equisetum pratense,1,,,,,,,
Sterling Creek,Equisetum pratense,1,,,,,,,
Wappinger Creek,Equisetum pratense,1,,,,,,,
Keyser Kill,Erigeron annuus,1,,,,,,,
Kinderhook Creek,Erigeron annuus,1,,,,,,,
Landsman Kill,Erigeron annuus,1,,,,,,,
Paragon Brook,Erigeron annuus,1,,,,,,,
Potic Creek,Erigeron annuus,1,,,,,,,
Battenkill,Euonymus alatus,1,,,,,,,
Landsman Kill,Euonymus alatus,1,,,,,,,
Evas Kill,Eupatorium perfoliatum,1,,,,,,,
Fawn Lake,Eupatorium perfoliatum,1,,,,,,,
Mill Brook,Eupatorium perfoliatum,1,,,,,,,
Robbs Creek,Eupatorium perfoliatum,1,,,,,,,
Wharton Hollow Creek,Eupatorium perfoliatum,1,,,,,,,
Kayaderosseras Creek,Euphorbia maculata,1,,,,,,,
Alplaus Kill,Eurybia divaricata,1,,,,,,,
Ballston Creek,Eurybia divaricata,1,,,,,,,
Battenkill,Eurybia divaricata,1,,,,,,,
Daly Creek,Eurybia divaricata,1,,,,,,,
Fawn Lake,Eurybia divaricata,1,,,,,,,
Green River,Eurybia divaricata,1,,,,,,,
Hans Creek,Eurybia divaricata,1,,,,,,,
Indian Brook,Eurybia divaricata,1,,,,,,,
Indian Kill,Eurybia divaricata,1,,,,,,,
Kinderhook Creek,Eurybia divaricata,1,,,,,,,
Lansing Kill,Eurybia divaricata,1,,,,,,,
Potic Creek,Eurybia divaricata,1,,,,,,,
Quacken Kill,Eurybia divaricata,1,,,,,,,
Stony Creek,Eurybia divaricata,1,,,,,,,
Valatie Kill,Eurybia divaricata,1,,,,,,,
Cedar River,Euthamia caroliniana,1,,,,,,,
Beaver Kill,Euthamia graminifolia,1,,,,,,,
Boreas River,Euthamia graminifolia,1,,,,,,,
Cedar River,Euthamia graminifolia,1,,,,,,,
Chester Creek,Euthamia graminifolia,1,,,,,,,
Four Mile Brook,Euthamia graminifolia,1,,,,,,,
Jassup River,Euthamia graminifolia,1,,,,,,,
Kennyetto Creek,Euthamia graminifolia,1,,,,,,,
Landsman Kill,Euthamia graminifolia,1,,,,,,,
North Branch West Stony Creek,Euthamia graminifolia,1,,,,,,,
Potic Creek,Euthamia graminifolia,1,,,,,,,
Robbs Creek,Euthamia graminifolia,1,,,,,,,
Sterling Creek,Euthamia graminifolia,1,,,,,,,
Alplaus Kill,Eutrochium maculatum,1,,,,,,,
Boreas River,Eutrochium maculatum,1,,,,,,,
Cedar River,Eutrochium maculatum,1,,,,,,,
Cedar River,Eutrochium maculatum,1,,,,,,,
Cobleskill Creek,Eutrochium maculatum,1,,,,,,,
Evas Kill,Eutrochium maculatum,1,,,,,,,
Fawn Lake,Eutrochium maculatum,1,,,,,,,
Four Mile Brook,Eutrochium maculatum,1,,,,,,,
Green River,Eutrochium maculatum,1,,,,,,,
Hudson River,Eutrochium maculatum,1,,,,,,,
Keyser Kill,Eutrochium maculatum,1,,,,,,,
Mill Brook,Eutrochium maculatum,1,,,,,,,
Mill Creek,Eutrochium maculatum,1,,,,,,,
Mohawk River,Eutrochium maculatum,1,,,,,,,
North Branch West Stony Creek,Eutrochium maculatum,1,,,,,,,
North Branch West Stony Creek,Eutrochium maculatum,1,,,,,,,
Paragon Brook,Eutrochium maculatum,1,,,,,,,
Quacken Kill,Eutrochium maculatum,1,,,,,,,
Robbs Creek,Eutrochium maculatum,1,,,,,,,
Sherriff Lake Outlet,Eutrochium maculatum,1,,,,,,,
Sherriff Lake Outlet,Eutrochium maculatum,1,,,,,,,
Timmerman Creek,Eutrochium maculatum,1,,,,,,,
Trout Brook,Eutrochium maculatum,1,,,,,,,
Wharton Hollow Creek,Eutrochium maculatum,1,,,,,,,
Alplaus Kill,Eutrochium purpureum,1,,,,,,,
Cadman Creek,Eutrochium purpureum,1,,,,,,,
Hans Creek,Eutrochium purpureum,1,,,,,,,
Hans Creek,Eutrochium purpureum,1,,,,,,,
Indian Kill,Eutrochium purpureum,1,,,,,,,
Kennyetto Creek,Eutrochium purpureum,1,,,,,,,
Kinderhook Creek,Eutrochium purpureum,1,,,,,,,
New Pond Brook,Eutrochium purpureum,1,,,,,,,
Quacken Kill,Eutrochium purpureum,1,,,,,,,
Robbs Creek,Eutrochium purpureum,1,,,,,,,
Sherriff Lake Outlet,Eutrochium purpureum,1,,,,,,,
Snook Kill,Eutrochium purpureum,1,,,,,,,
Alplaus Kill,Fagus grandifolia,1,,,,,,,
Bullhead Pond Brook,Fagus grandifolia,1,,,,,,,
Cadman Creek,Fagus grandifolia,1,,,,,,,
Minots Corner Road,Fagus grandifolia,1,,,,,,,
Sherriff Lake Outlet,Fagus grandifolia,1,,,,,,,
Big Brook,Fragaria vesca,1,,,,,,,
Cedar River,Fragaria vesca,1,,,,,,,
Four Mile Brook,Fragaria vesca,1,,,,,,,
Hans Creek,Fragaria vesca,1,,,,,,,
Lansing Kill,Fragaria vesca,1,,,,,,,
Mill Creek,Fragaria vesca,1,,,,,,,
Minots Corner Road,Fragaria vesca,1,,,,,,,
New Pond Brook,Fragaria vesca,1,,,,,,,
Paragon Brook,Fragaria vesca,1,,,,,,,
Robbs Creek,Fragaria vesca,1,,,,,,,
Sterling Creek,Fragaria vesca,1,,,,,,,
Stewart Creek,Fragaria vesca,1,,,,,,,
Timmerman Creek,Fragaria vesca,1,,,,,,,
Ballston Creek,Fraxinus americana,1,,,,,,,
Battenkill,Fraxinus americana,1,,,,,,,
Big Brook,Fraxinus americana,1,,,,,,,
Bullhead Pond Brook,Fraxinus americana,1,,,,,,,
Fawn Lake,Fraxinus americana,1,,,,,,,
Fishkill Creek,Fraxinus americana,1,,,,,,,
Hans Creek,Fraxinus americana,1,,,,,,,
Indian Kill,Fraxinus americana,1,,,,,,,
Kinderhook Creek,Fraxinus americana,1,,,,,,,
Lansing Kill,Fraxinus americana,1,,,,,,,
Minots Corner Road,Fraxinus americana,1,,,,,,,
North Branch West Stony Creek,Fraxinus americana,1,,,,,,,
Quacken Kill,Fraxinus americana,1,,,,,,,
Saw Kill,Fraxinus americana,1,,,,,,,
Sprout Creek,Fraxinus americana,1,,,,,,,
Steele Creek,Fraxinus americana,1,,,,,,,
Stony Creek,Fraxinus americana,1,,,,,,,
Trout Brook,Fraxinus americana,1,,,,,,,
Valatie Kill,Fraxinus americana,1,,,,,,,
Wharton Hollow Creek,Fraxinus americana,1,,,,,,,
Stewart Creek,Fraxinus nigra,1,,,,,,,
Potic Creek,Fraxinus pennsylvanica,1,,,,,,,
Big Brook,Galium aparine,1,,,,,,,
Fawn Lake,Galium aparine,1,,,,,,,
Four Mile Brook,Galium aparine,1,,,,,,,
Robbs Creek,Galium aparine,1,,,,,,,
Sterling Creek,Galium aparine,1,,,,,,,
Cadman Creek,Galium asprellum,1,,,,,,,
Daly Creek,Galium asprellum,1,,,,,,,
Four Mile Brook,Galium asprellum,1,,,,,,,
Hudson River,Galium asprellum,1,,,,,,,
Mill Brook,Galium asprellum,1,,,,,,,
Mill Creek,Galium asprellum,1,,,,,,,
Paragon Brook,Galium asprellum,1,,,,,,,
Sherriff Lake Outlet,Galium asprellum,1,,,,,,,
Timmerman Creek,Galium asprellum,1,,,,,,,
Beaver Kill,Galium boreale,1,,,,,,,
Wappinger Creek,Galium boreale,1,,,,,,,
Wharton Hollow Creek,Galium boreale,1,,,,,,,
Cobleskill Creek,Galium mollugo,1,,,,,,,
Fawn Lake,Galium mollugo,1,,,,,,,
Keyser Kill,Galium mollugo,1,,,,,,,
Wharton Hollow Creek,Galium mollugo,1,,,,,,,
Alplaus Kill,Galium palustre,1,,,,,,,
Ballston Creek,Galium palustre,1,,,,,,,
Battenkill,Galium palustre,1,,,,,,,
Beaver Kill,Galium palustre,1,,,,,,,
Cedar River,Galium palustre,1,,,,,,,
Chester Creek,Galium palustre,1,,,,,,,
Jassup River,Galium palustre,1,,,,,,,
Kennyetto Creek,Galium palustre,1,,,,,,,
Kinderhook Creek,Galium palustre,1,,,,,,,
Landsman Kill,Galium palustre,1,,,,,,,
Mohawk River,Galium palustre,1,,,,,,,
Potic Creek,Galium palustre,1,,,,,,,
Quacken Kill,Galium palustre,1,,,,,,,
Roeliff Jansen Kill,Galium palustre,1,,,,,,,
Stony Creek,Galium palustre,1,,,,,,,
Wharton Hollow Creek,Galium palustre,1,,,,,,,
Roeliff Jansen Kill,Galium triflorum,1,,,,,,,
Hudson River,Gentiana linearis,1,,,,,,,
Landsman Kill,Geum canadense,1,,,,,,,
Mohawk River,Geum canadense,1,,,,,,,
Roeliff Jansen Kill,Geum canadense,1,,,,,,,
Snook Kill,Geum canadense,1,,,,,,,
Ballston Creek,Glechoma hederacea,1,,,,,,,
Cobleskill Creek,Glechoma hederacea,1,,,,,,,
Hans Creek,Glechoma hederacea,1,,,,,,,
Landsman Kill,Glechoma hederacea,1,,,,,,,
Mill Creek,Glechoma hederacea,1,,,,,,,
Minots Corner Road,Glechoma hederacea,1,,,,,,,
Mohawk River,Glechoma hederacea,1,,,,,,,
North Branch West Stony Creek,Glechoma hederacea,1,,,,,,,
Quacken Kill,Glechoma hederacea,1,,,,,,,
Snook Kill,Glechoma hederacea,1,,,,,,,
Steele Creek,Glechoma hederacea,1,,,,,,,
Ballston Creek,Glyceria striata,1,,,,,,,
Cadman Creek,Glyceria striata,1,,,,,,,
Daly Creek,Glyceria striata,1,,,,,,,
Four Mile Brook,Glyceria striata,1,,,,,,,
Four Mile Brook,Glyceria striata,1,,,,,,,
Indian Kill,Glyceria striata,1,,,,,,,
Keyser Kill,Glyceria striata,1,,,,,,,
Mill Brook,Glyceria striata,1,,,,,,,
Mill Creek,Glyceria striata,1,,,,,,,
New Pond Brook,Glyceria striata,1,,,,,,,
New Pond Brook,Glyceria striata,1,,,,,,,
North Branch West Stony Creek,Glyceria striata,1,,,,,,,
Robbs Creek,Glyceria striata,1,,,,,,,
Sherriff Lake Outlet,Glyceria striata,1,,,,,,,
Timmerman Creek,Glyceria striata,1,,,,,,,
Ballston Creek,Hamamelis virginiana,1,,,,,,,
Hans Creek,Hamamelis virginiana,1,,,,,,,
Saw Kill,Hamamelis virginiana,1,,,,,,,
Sterling Creek,Hamamelis virginiana,1,,,,,,,
Ballston Creek,Helianthus divaricatus,1,,,,,,,
Kayaderosseras Creek,Helianthus divaricatus,1,,,,,,,
Steele Creek,Helianthus divaricatus,1,,,,,,,
Battenkill,Helianthus strumosus,1,,,,,,,
Valatie Kill,Helianthus strumosus,1,,,,,,,
Quacken Kill,Helianthus tuberosus,1,,,,,,,
Paragon Brook,Hemerocallis fulva,1,,,,,,,
Bullhead Pond Brook,Heuchera villosa,1,,,,,,,
Cadman Creek,Heuchera villosa,1,,,,,,,
Daly Creek,Heuchera villosa,1,,,,,,,
Robbs Creek,Heuchera villosa,1,,,,,,,
Stewart Creek,Heuchera villosa,1,,,,,,,
Robbs Creek,Hypericum mutilum,1,,,,,,,
Cedar River,Hypericum perforatum,1,,,,,,,
Daly Creek,Hypericum perforatum,1,,,,,,,
Four Mile Brook,Hypericum perforatum,1,,,,,,,
Hudson River,Hypericum perforatum,1,,,,,,,
Keyser Kill,Hypericum perforatum,1,,,,,,,
Kinderhook Creek,Hypericum perforatum,1,,,,,,,
Paragon Brook,Hypericum perforatum,1,,,,,,,
Sterling Creek,Hypericum perforatum,1,,,,,,,
Wharton Hollow Creek,Hypericum perforatum,1,,,,,,,
Stony Creek,Hypericum punctatum,1,,,,,,,
Ballston Creek,Impatiens capensis,1,,,,,,,
Beaver Kill,Impatiens capensis,1,,,,,,,
Bullhead Pond Brook,Impatiens capensis,1,,,,,,,
Daly Creek,Impatiens capensis,1,,,,,,,
Fawn Lake,Impatiens capensis,1,,,,,,,
Fishkill Creek,Impatiens capensis,1,,,,,,,
Indian Brook,Impatiens capensis,1,,,,,,,
Indian Kill,Impatiens capensis,1,,,,,,,
Keyser Kill,Impatiens capensis,1,,,,,,,
Landsman Kill,Impatiens capensis,1,,,,,,,
Lansing Kill,Impatiens capensis,1,,,,,,,
Plotter Kill,Impatiens capensis,1,,,,,,,
Potic Creek,Impatiens capensis,1,,,,,,,
Quacken Kill,Impatiens capensis,1,,,,,,,
Roeliff Jansen Kill,Impatiens capensis,1,,,,,,,
Saw Kill,Impatiens capensis,1,,,,,,,
Snook Kill,Impatiens capensis,1,,,,,,,
Sprout Creek,Impatiens capensis,1,,,,,,,
Stony Creek,Impatiens capensis,1,,,,,,,
Ballston Creek,Impatiens pallida,1,,,,,,,
Evas Kill,Impatiens pallida,1,,,,,,,
Mohawk River,Impatiens pallida,1,,,,,,,
Plotter Kill,Impatiens pallida,1,,,,,,,
Cadman Creek,Juglans cinerea,1,,,,,,,
Quacken Kill,Juglans cinerea,1,,,,,,,
Hudson River,Juglans nigra,1,,,,,,,
Landsman Kill,Juglans nigra,1,,,,,,,
Boreas River,Juncaceae_a,1,,,,,,,
Chester Creek,Juncaceae_a,1,,,,,,,
Cobleskill Creek,Juncaceae_a,1,,,,,,,
Kayaderosseras Creek,Juncaceae_a,1,,,,,,,
Snook Kill,Juncaceae_a,1,,,,,,,
Four Mile Brook,Juncus articulatus,1,,,,,,,
Timmerman Creek,Juncus articulatus,1,,,,,,,
Cedar River,Juncus filiformis,1,,,,,,,
Four Mile Brook,Juncus filiformis,1,,,,,,,
Alplaus Kill,Laportea canadensis,1,,,,,,,
Ballston Creek,Laportea canadensis,1,,,,,,,
Evas Kill,Laportea canadensis,1,,,,,,,
Landsman Kill,Laportea canadensis,1,,,,,,,
Snook Kill,Laportea canadensis,1,,,,,,,
Cadman Creek,Leonurus cardiaca,1,,,,,,,
Quacken Kill,Leonurus cardiaca,1,,,,,,,
Roeliff Jansen Kill,Leonurus cardiaca,1,,,,,,,
Boreas River,Leucanthemum vulgare,1,,,,,,,
Cedar River,Leucanthemum vulgare,1,,,,,,,
Cobleskill Creek,Leucanthemum vulgare,1,,,,,,,
Fawn Lake,Leucanthemum vulgare,1,,,,,,,
Four Mile Brook,Leucanthemum vulgare,1,,,,,,,
Keyser Kill,Leucanthemum vulgare,1,,,,,,,
Cedar River,Linaria vulgaris,1,,,,,,,
Indian Brook,Lindera benzoin,1,,,,,,,
Battenkill,Liparis loeselii,1,,,,,,,
Mill Creek,Liparis loeselii,1,,,,,,,
Stewart Creek,Liparis loeselii,1,,,,,,,
Roeliff Jansen Kill,Lithospermum officinale,1,,,,,,,
Ballston Creek,Lobelia cardinalis,1,,,,,,,
Jassup River,Lobelia cardinalis,1,,,,,,,
Mill Brook,Lobelia cardinalis,1,,,,,,,
Mill Creek,Lobelia cardinalis,1,,,,,,,
Paragon Brook,Lobelia cardinalis,1,,,,,,,
Stewart Creek,Lobelia cardinalis,1,,,,,,,
Timmerman Creek,Lobelia cardinalis,1,,,,,,,
Trout Brook,Lobelia cardinalis,1,,,,,,,
Kinderhook Creek,Lobelia inflata,1,,,,,,,
Evas Kill,Lobelia siphilitica,1,,,,,,,
Snook Kill,Lobelia siphilitica,1,,,,,,,
Valatie Kill,Lonicera japonica,1,,,,,,,
Alplaus Kill,Lonicera morrowii,1,,,,,,,
Ballston Creek,Lonicera morrowii,1,,,,,,,
Battenkill,Lonicera morrowii,1,,,,,,,
Beaver Kill,Lonicera morrowii,1,,,,,,,
Big Brook,Lonicera morrowii,1,,,,,,,
Fawn Lake,Lonicera morrowii,1,,,,,,,
Fishkill Creek,Lonicera morrowii,1,,,,,,,
Green River,Lonicera morrowii,1,,,,,,,
Indian Brook,Lonicera morrowii,1,,,,,,,
Kennyetto Creek,Lonicera morrowii,1,,,,,,,
Kinderhook Creek,Lonicera morrowii,1,,,,,,,
Lansing Kill,Lonicera morrowii,1,,,,,,,
Minots Corner Road,Lonicera morrowii,1,,,,,,,
Mohawk River,Lonicera morrowii,1,,,,,,,
Paragon Brook,Lonicera morrowii,1,,,,,,,
Paragon Brook,Lonicera morrowii,1,,,,,,,
Quacken Kill,Lonicera morrowii,1,,,,,,,
Snook Kill,Lonicera morrowii,1,,,,,,,
Steele Creek,Lonicera morrowii,1,,,,,,,
Sterling Creek,Lonicera morrowii,1,,,,,,,
Stony Creek,Lonicera morrowii,1,,,,,,,
Valatie Kill,Lonicera morrowii,1,,,,,,,
Boreas River,Lotus corniculatus,1,,,,,,,
Cobleskill Creek,Lotus corniculatus,1,,,,,,,
Fawn Lake,Lotus corniculatus,1,,,,,,,
Keyser Kill,Lotus corniculatus,1,,,,,,,
Chester Creek,Ludwigia palustris,1,,,,,,,
Jassup River,Ludwigia palustris,1,,,,,,,
Hudson River,Lycopus americanus,1,,,,,,,
Boreas River,Lycopus rubellus,1,,,,,,,
Cadman Creek,Lycopus rubellus,1,,,,,,,
Cedar River,Lycopus rubellus,1,,,,,,,
Chester Creek,Lycopus rubellus,1,,,,,,,
Evas Kill,Lycopus rubellus,1,,,,,,,
Four Mile Brook,Lycopus rubellus,1,,,,,,,
Lansing Kill,Lycopus rubellus,1,,,,,,,
New Pond Brook,Lycopus rubellus,1,,,,,,,
North Branch West Stony Creek,Lycopus rubellus,1,,,,,,,
Robbs Creek,Lycopus rubellus,1,,,,,,,
Sherriff Lake Outlet,Lycopus rubellus,1,,,,,,,
Snook Kill,Lycopus rubellus,1,,,,,,,
Sterling Creek,Lycopus rubellus,1,,,,,,,
Stewart Creek,Lycopus rubellus,1,,,,,,,
Trout Brook,Lycopus rubellus,1,,,,,,,
Battenkill,Lysimachia ciliata,1,,,,,,,
Beaver Kill,Lysimachia ciliata,1,,,,,,,
Mill Brook,Lysimachia ciliata,1,,,,,,,
Mohawk River,Lysimachia ciliata,1,,,,,,,
Wharton Hollow Creek,Lysimachia ciliata,1,,,,,,,
Ballston Creek,Lysimachia nummularia,1,,,,,,,
